Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2014-04-04,CES,562,SYD,PVG,1,,1,,false,,2014-04-04T12:00,2014-04-04T12:01,,,,,2014-04-04T19:20,2014-04-04T19:32,Airbus A330-200,,,,,,,,f1b25621-446a-4e5f-a7b6-611d2df8c098,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,958827d6-30b4-4f21-9da2-e2e5c43635d0,94ecd389-4c82-477f-8502-261c27f5b6fa,,b592e11d-fad7-492c-9c29-998f09eed93e
2014-04-05,CSZ,9722,SHA,JDZ,2,,,,false,,2014-04-05T08:55,2014-04-05T08:57,,,,,2014-04-05T10:00,2014-04-05T11:04,Airbus A320,,,,,,,,112ab483-f9b3-48b5-8ba9-3dd6c0c90845,882ae493-92fd-4736-99aa-2a349ce76c91,5382e2ef-9ea4-4c98-9586-ab44a30cdb43,f15839a8-3e86-4ea6-a5db-fafc65f598e9,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
2014-04-17,CES,5111,SHA,PEK,2,,2,,false,,2014-04-17T13:00,2014-04-17T14:05,,,,,2014-04-17T15:20,2014-04-17T15:54,Airbus A330-300,,,,,,,,ad9d2913-d74f-4ca9-b5c4-d70efaed2eb2,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,5382e2ef-9ea4-4c98-9586-ab44a30cdb43,fa495023-95f7-46c7-abf5-69a5f2120d69,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2014-04-24,CES,5108,PEK,SHA,2,,2,,false,,2014-04-24T11:00,2014-04-24T11:24,,,,,2014-04-24T13:10,2014-04-24T13:00,Airbus A330-300,,,,,,,,53d8877b-dfda-4dae-9a38-dcec703f4e5c,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,fa495023-95f7-46c7-abf5-69a5f2120d69,5382e2ef-9ea4-4c98-9586-ab44a30cdb43,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2014-05-01,CES,561,PVG,SYD,1,,1,,false,,2014-05-01T20:20,2014-05-01T20:29,,,,,2014-05-02T09:00,2014-05-02T08:55,Airbus A330-200,,,,,,,,f8e160a1-70c5-455b-8dcc-9ed221ce1c21,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,958827d6-30b4-4f21-9da2-e2e5c43635d0,,b592e11d-fad7-492c-9c29-998f09eed93e
2015-09-20,UAE,418,SYD,CHC,1,,,I34,false,,2015-09-20T09:15,,,,,,2015-09-20T14:20,2015-09-20T14:19,Boeing 777-300 ER,,,,,,,,605e2d31-536b-4c3d-84ce-e2e1665bda5b,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,958827d6-30b4-4f21-9da2-e2e5c43635d0,62e695b2-b084-4703-b1a7-5dec09396c9b,,78eac566-1ad0-4ded-9979-9510dfde05f2
2015-10-03,UAE,419,CHC,SYD,,I34,1,,false,,2015-10-03T16:55,,,,,,2015-10-03T17:15,,Boeing 777-300 ER,,,,,,,,f5ffb6e2-ce83-40ea-80e1-284af2250743,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,62e695b2-b084-4703-b1a7-5dec09396c9b,958827d6-30b4-4f21-9da2-e2e5c43635d0,,78eac566-1ad0-4ded-9979-9510dfde05f2
2017-04-10,CPA,110,SYD,HKG,1,36,1,,false,,2017-04-10T07:30,2017-04-10T07:29,,,,,2017-04-10T15:10,2017-04-10T15:24,Airbus A330-300,,,,,,,,d0f74ef0-2d9b-4e35-a03e-b93f2a9c60bd,8508d82c-f03a-4c99-88d8-46ede5aceb6d,958827d6-30b4-4f21-9da2-e2e5c43635d0,7da61aa8-3d56-411b-8be5-50a198e86c60,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2017-04-10,HDA,642,HKG,NGB,1,501,,,false,,2017-04-10T18:15,2017-04-10T18:16,,,,,2017-04-10T20:30,2017-04-10T20:21,Airbus A321,,,,,,,,1430e786-4ba9-4471-af92-2fcba7d39168,043d6b9b-8b28-4f1f-81f9-fbb6524b9cc5,7da61aa8-3d56-411b-8be5-50a198e86c60,3ddea532-f598-4107-a947-3385761a9d90,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2017-04-11,CPA,110,SYD,HKG,1,33,1,,false,,2017-04-11T07:30,2017-04-11T07:33,,,,,2017-04-11T15:10,2017-04-11T15:12,Airbus A330-300,,,,,,,,101c0bd0-7b4f-44da-8519-4585a28d12d7,8508d82c-f03a-4c99-88d8-46ede5aceb6d,958827d6-30b4-4f21-9da2-e2e5c43635d0,7da61aa8-3d56-411b-8be5-50a198e86c60,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
